INFO 2025-10-13 02:42:20,099 autoreload Watching for file changes with StatReloader
DEBUG 2025-10-13 02:42:20,948 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py first seen with mtime 1759764561.888675
DEBUG 2025-10-13 02:42:20,949 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1759764563.6148727
DEBUG 2025-10-13 02:42:20,949 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1759764563.6491802
DEBUG 2025-10-13 02:42:20,949 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\email\message.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,949 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1759764563.6351337
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\csrf.py first seen with mtime 1759764563.919338
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1759764563.7433503
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1759764560.9813669
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\utils.py first seen with mtime 1759764563.8629403
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\response.py first seen with mtime 1759764553.8078282
DEBUG 2025-10-13 02:42:20,950 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1759764573.8804839
DEBUG 2025-10-13 02:42:20,951 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1759764561.4806044
DEBUG 2025-10-13 02:42:20,951 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\string.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,951 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1759764563.6361566
DEBUG 2025-10-13 02:42:20,951 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1759764562.8497503
DEBUG 2025-10-13 02:42:20,951 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\asyncio\queues.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,952 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1759764563.6891332
DEBUG 2025-10-13 02:42:20,952 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\mimetypes.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,952 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1759764561.69315
DEBUG 2025-10-13 02:42:20,952 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\copyreg.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,952 autoreload File D:\ElectroPluz-web-\ElectroPlus-Gateway\gateway_app\__init__.py first seen with mtime 1759714990.0898962
DEBUG 2025-10-13 02:42:20,952 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\query.py first seen with mtime 1759764563.7469702
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1759764553.804749
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1759764563.688107
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\DLLs\_ssl.pyd first seen with mtime 1680673674.0
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1759764563.7173715
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1759764563.8456652
DEBUG 2025-10-13 02:42:20,953 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1759764563.6356463
DEBUG 2025-10-13 02:42:20,954 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\asyncio\format_helpers.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,954 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\charset_normalizer\md__mypyc.cp310-win_amd64.pyd first seen with mtime 1759764558.1342723
DEBUG 2025-10-13 02:42:20,954 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\importlib\util.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,954 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\http\cookies.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,954 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\datetime.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\utils.py first seen with mtime 1759764563.6798098
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\_compression.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\urllib\request.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\email\headerregistry.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\__init__.py first seen with mtime 1759764553.7995577
DEBUG 2025-10-13 02:42:20,955 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\thread.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,956 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1759764560.6947296
DEBUG 2025-10-13 02:42:20,956 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1759764554.8746874
DEBUG 2025-10-13 02:42:20,956 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\utils.py first seen with mtime 1759764554.870545
DEBUG 2025-10-13 02:42:20,956 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1759764563.7693954
DEBUG 2025-10-13 02:42:20,956 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\urls\base.py first seen with mtime 1759764563.8825784
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\_base.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\socketserver.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\corsheaders\checks.py first seen with mtime 1759764574.979057
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\decimal.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\functions\json.py first seen with mtime 1759764563.7615156
DEBUG 2025-10-13 02:42:20,957 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1759764563.8608444
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\fractions.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\request.py first seen with mtime 1759764573.879453
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\platform.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\html\parser.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\log.py first seen with mtime 1759764563.9058585
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\quopri.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,958 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\urllib\response.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\dotenv\__init__.py first seen with mtime 1759764555.5436056
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\DLLs\_asyncio.pyd first seen with mtime 1680673672.0
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\email\errors.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1759764563.6117418
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\csv.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,959 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\migrations\0001_initial.py first seen with mtime 1759764561.3417861
DEBUG 2025-10-13 02:42:20,960 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1759764563.6766577
DEBUG 2025-10-13 02:42:20,960 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\importlib\_abc.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,960 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\exceptions.py first seen with mtime 1759764563.602915
DEBUG 2025-10-13 02:42:20,960 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1759764561.7072227
DEBUG 2025-10-13 02:42:20,960 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1759764563.7662559
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\asyncio\events.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\__init__.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\requests\__init__.py first seen with mtime 1759764558.8150468
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1759764563.2209966
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1759764574.043616
DEBUG 2025-10-13 02:42:20,961 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\codecs.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,962 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\i18n.py first seen with mtime 1759764563.9214108
DEBUG 2025-10-13 02:42:20,962 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\util\response.py first seen with mtime 1759764553.8197758
DEBUG 2025-10-13 02:42:20,962 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\hmac.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,962 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\uritemplate\template.py first seen with mtime 1759764554.3158975
DEBUG 2025-10-13 02:42:20,962 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\pathlib.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1759764563.733487
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\duration.py first seen with mtime 1759764563.8986013
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\__init__.py first seen with mtime 1759764563.918293
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1759764573.8712053
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\connection.py first seen with mtime 1759764553.802685
DEBUG 2025-10-13 02:42:20,963 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1759764562.8669207
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1759764563.7199717
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1759764563.8561578
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1759764563.663744
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\multiprocessing\reduction.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1759764558.129041
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1759764574.039511
DEBUG 2025-10-13 02:42:20,964 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\sql.py first seen with mtime 1759764554.869516
DEBUG 2025-10-13 02:42:20,965 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\asyncio\windows_events.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,965 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\formats.py first seen with mtime 1759764563.9006753
DEBUG 2025-10-13 02:42:20,965 autoreload File D:\ElectroPluz-web-\ElectroPlus-Gateway\inventory\urls.py first seen with mtime 1759840047.580773
DEBUG 2025-10-13 02:42:20,965 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\uritemplate\__init__.py first seen with mtime 1759764554.3127396
DEBUG 2025-10-13 02:42:20,965 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1759764563.75477
